Designator,Mid X,Mid Y,Rotation,Layer
C1,113.525,-97.05,270.0,top
C2,99.975,-88.875,0.0,top
C3,106.2,-98.875,90.0,top
C4,108.5,-98.875,90.0,top
C5,100.35,-99.875,90.0,top
C6,100.0,-83.275,0.0,top
C7,106.2,-94.25,270.0,top
C8,108.5,-94.25,270.0,top
D1,102.625,-74.95,90.0,top
D7,118.275,-97.4,90.0,top
J1,123.925,-84.875,270.0,top
L1,101.65,-95.925,90.0,top
Q1,99.725,-73.65,270.0,top
R1,99.275,-76.35,0.0,top
R2,98.175,-72.225,180.0,top
U1,100.0,-86.075,270.0,top
U2,102.925,-100.35,180.0,top
U3,109.25,-68.9,0.0,top
U4,114.2,-81.6,0.0,top
